掌权人,排名,排名变化,财富值_人民币_亿,财富值_美元,财富值变化,人物关系,公司名称_中文,公司名称_英文,公司总部地_中文,公司总部地_英文,所在行业_中文,所在行业_英文,性别,年龄,出生地_中文,籍贯_中文,常住地_中文,学历_中文,毕业院校_中文,毕业院校_英文,专业_中文,专业_英文
张志祥,135,11,330.0,4650.0,-1%,未知,建龙,Jianlong,北京,Beijing,钢铁、矿业、船运,"Steel, Mining, Shipbuilding",先生,57,中国-浙江-宁波,中国-浙江-宁波,中国-北京,本科,浙江工业,东北大学,,
李革,137,-40,325.0,4580.0,-28%,未知,药明康德,Wuxi Pharma Tech,上海浦东,Shanghai,医药,Pharmaceuticals,先生,57,中国-北京,中国-浙江-温州,中国-上海,,,美国哥伦比亚大学,,
林张素娥,137,22,325.0,4580.0,3%,家族,联邦,Liberty Times,台湾台北,Taiwan,房地产、金融,"Real Estate, Financial Services",先生,未知,,中国-福建-泉州,中国-台湾-台北,,,,,
史玉柱、史静,137,-7,325.0,4580.0,-8%,父女,巨人,Giant,上海松江,Shanghai,金融、在线游戏、投资,"Finance, online games, Investments",先生,62,中国-安徽-蚌阜,中国-安徽-蚌阜,中国-上海,本科,浙大,深圳大学,,
陈天石,140,150,320.0,4510.0,73%,未知,寒武纪,Cambricon,北京,Beijing,人工智能芯片,AI Chips,先生,39,,,中国-北京,,,,,
何小鹏,140,-43,320.0,4510.0,-29%,未知,小鹏汽车,Xpeng Motors,广东广州,Guangdong,新能源汽车,E-cars,先生,47,中国-湖北-黄石,中国-湖北-黄石,中国-广东-广州,本科,华南理工,,,
胡凯军,140,-14,320.0,4510.0,-14%,未知,远大,Grand Enterprises,北京,Beijing,医药,Pharmaceuticals,先生,62,,,中国-北京,,,,,
陈金霞,143,12,315.0,4440.0,-2%,未知,涌金投资,Yongjin,上海浦东,Shanghai,医药、投资,"Pharmaceutical, Investments",女士,56,中国-上海,中国-上海,中国-上海,硕士,上财、人大,上海财经大学,,
何超琼,144,21,310.0,4370.0,2%,未知,信德、美高梅中国,"Shun Tak, MGM China",香港,Hong Kong,博彩,Gaming,女士,62,中国-香港,中国-澳门,中国-香港,,,,,
郭炳联,145,5,305.0,4300.0,-6%,家族,新鸿基,Sun Hung Kai,香港,Hong Kong,房地产,Estate Holding,先生,72,中国-香港,中国-香港,中国-香港,,,,,
郭基辉,145,5,305.0,4300.0,-6%,家族,新鸿基,Sun Hung Kai,香港,Hong Kong,房地产,Estate Holding,先生,41,中国-香港,中国-香港,中国-香港,,,,,
施永宏、李海燕,145,-30,305.0,4300.0,-22%,夫妇,海底捞,Haidilao,北京,Beijing,餐饮,Restaurants,先生,54,中国-四川-成都,,中国-北京,,,,,
程雪,148,36,300.0,4230.0,9%,未知,海天味业,Haitian,广东佛山,Guangdong,调味品,Food Flavorings,女士,54,中国-江苏-盐城,,中国-广东-佛山,本科,,,,
董建成,148,19,300.0,4230.0,0%,家族,东方海外,OOCL,香港,Hong Kong,运输,Transportation,先生,81,中国-上海,中国-浙江-宁波,中国-香港,,,,,
林建华、张虹,148,-34,300.0,4230.0,-25%,夫妇,福斯特,First,浙江杭州,Zhejiang,光伏材料,Photovoltaic,先生,62,中国-福建,,中国-浙江-杭州,本科,,,,
刘益谦,148,-25,300.0,4230.0,-20%,家族,新理益,Sunline,上海浦东,Shanghai,投资,Investments,先生,61,中国-上海,中国-湖北,中国-上海,,,,,
沈南鹏,148,40,300.0,4230.0,11%,未知,红杉,Sequoia,北京,Beijing,投资,Investments,先生,57,中国-浙江-嘉兴,中国-浙江-嘉兴,中国-香港,硕士,上交大、耶鲁,耶鲁大学,,
杨建文,148,51,300.0,4230.0,15%,家族,伯恩光学,Biel Crystal Manufactory,香港,Hong Kong,工业产品,Industrial Products,先生,71,中国-香港,中国-香港,中国-香港,,,,,
易峥,148,0,300.0,4230.0,-9%,未知,同花顺,Hithink RoyalFlush,浙江杭州,Zhejiang,软件,Software,先生,54,中国-北京,,中国-浙江-杭州,本科,浙大,浙江大学,,
陈凯旋,155,0,295.0,4150.0,-8%,家族,立白,Liby,广东广州,Guangdong,日化用品,Personal Care,先生,66,中国-广东-揭阳,中国-广东-揭阳,中国-广东-广州,,,中山大学,,
辜仲立,155,33,295.0,4150.0,9%,家族,中信金控,CTBC,台湾台北,Taiwan,金融服务,Financial Services,先生,57,中国-台湾-台北,,中国-台湾-台北,,,,,
蔡奎,157,-42,290.0,4080.0,-26%,家族,龙湖,Longfor,北京,Beijing,房地产,Real Estate,先生,63,中国-四川-资阳,中国-重庆,中国-香港,本科,南航,南京航空航天大学,,
蔡志明,157,22,290.0,4080.0,4%,未知,旭日国际,Early Light International,香港,Hong Kong,玩具,Toys,先生,79,中国-广东-揭阳,中国-广东-揭阳,中国-香港,,,,,
米恩华,157,17,290.0,4080.0,2%,家族,华凌工贸,Hualing,新疆乌鲁木齐,Xinjiang,地产、畜牧,"Real estate, Animal Husbandry",先生,66,中国-山东-泰安,,中国-新疆-乌鲁木齐,,,,,
王健林,157,-68,290.0,4080.0,-38%,家族,万达,Wanda,北京,Beijing,房地产、文化,"Real Estate, Media & Entertainment",先生,70,中国-四川-绵阳,中国-四川-广元,中国-北京,本科,辽大,辽宁大学,,
吴向东,157,-17,290.0,4080.0,-16%,未知,华泽,Huaze,北京,Beijing,酒业、投资,"Wine, Investments",先生,54,中国-湖南-株洲,,中国-北京,,,,,
杨绍鹏,157,57,290.0,4080.0,21%,未知,海丰,SITC Maritime,香港,Hong Kong,航运,Shipping,先生,68,中国-山东-青岛,中国-山东-青岛,中国-上海,,,,,
尤小平,157,17,290.0,4080.0,2%,家族,华峰,Huafeng,浙江温州,Zhejiang,化工、铝业、投资,"Chemical, Aluminum, Investments",先生,66,中国-浙江-温州,,中国-浙江-温州,,,,,
蔡明介,164,116,285.0,4010.0,50%,家族,联发科技,Media Tek,台湾新竹,Taiwan,半导体,Semiconductors,先生,74,中国-台湾,,中国-台湾-新竹,,,,,
陈华,164,-27,285.0,4010.0,-19%,家族,京基,Kingkey,广东深圳,Guangdong,房地产、投资,Real Estate,先生,58,中国-广东-湛江,中国-广东-湛江,中国-广东-深圳,,,,,
郭广昌,164,-20,285.0,4010.0,-16%,未知,复星,Fosun,上海黄浦,Shanghai,投资,Investments,先生,57,中国-浙江-金华,中国-浙江-金华,中国-上海,硕士,复旦、复旦,复旦大学,,
赵涛,164,6,285.0,4010.0,-3%,家族,步长,Buchang,北京,陕西,医药,Pharmaceuticals,先生,58,中国-陕西-西安,中国-陕西,中国-北京,硕士,西安医科、美国福坦莫大学,西安医科大学,,
钭正刚,168,37,280.0,3940.0,12%,家族,锦江,Jinjiang,浙江杭州,Zhejiang,能源、化工,"Energy, chemical",先生,71,中国-浙江,,中国-浙江-杭州,,,,,
李华,168,20,280.0,3940.0,4%,未知,富途,Futu Holdings,香港,Hong Kong,金融服务,Financial Services,先生,46,,,中国-香港,本科,,,,
孙广信,168,-9,280.0,3940.0,-11%,未知,广汇,Guanghui,新疆乌鲁木齐,Xinjiang,汽车销售、能源、房地产,"Car Sales, Energy, Real Estate",先生,62,中国-新疆-乌鲁木齐,中国-山东-青岛,中国-新疆-乌鲁木齐,硕士,西安陆军、社科院,西安陆军学院,,
徐旭东,168,85,280.0,3940.0,33%,未知,远东,Far Eastern,台湾新北,Taiwan,金融服务,Financial Services,先生,83,中国-上海,中国-江苏-南通,中国-台湾-新北,,,,,
王宁,172,186,275.0,3870.0,72%,家族,泡泡玛特,Pop Mart,北京,Beijing,玩具,Retail,先生,37,中国-河南-新乡,中国-河南-新乡,中国-北京,,,,,
李贤义,173,-44,270.0,3800.0,-25%,家族,信义,Xinyi Glass,香港,Hong Kong,玻璃,Glass,先生,72,中国-福建-泉州,中国-福建-泉州,中国-香港,,,,,
涂辉龙,173,15,270.0,3800.0,0%,未知,海雅,Haiya,广东深圳,Guangdong,商业、金融、地产,"Financial, Real estate",先生,65,中国-广东-汕尾,中国-广东-汕尾,中国-广东-深圳,硕士,武汉江汉石油,,,
朱鼎健,173,15,270.0,3800.0,0%,家族,观澜湖,Mission Hills,广东深圳,Guangdong,房地产,Real Estate,先生,50,中国-香港,中国-广东-潮汕,中国-广东-深圳,本科,加拿大西安大略大学,加拿大西安大略大学,,
梁庆德,176,-14,265.0,3730.0,-15%,家族,格兰仕,Galanz,广东佛山,Guangdong,家电,Household Appliances,先生,87,中国-广东-佛山,中国-广东-佛山,中国-广东-佛山,,,,,
夏佐全,176,-2,265.0,3730.0,-7%,未知,比亚迪,BYD,广东深圳,Guangdong,汽车、充电电池,"Automobile, New Energy",先生,61,中国-湖北-襄阳,中国-湖北-襄阳,中国-广东-深圳,本科,北京科技,,,
叶澄海、廖清清,176,29,265.0,3730.0,6%,夫妇,信立泰,Salubris Pharmaceuticals,广东深圳,Guangdong,医药,Pharmaceuticals,先生,81,中国-广东-梅州,中国-广东-梅州,中国-广东-深圳,硕士,人大、中国党校,中国人民大学,,
江南春,179,-24,260.0,3660.0,-19%,未知,分众传媒,FocusMedia,上海长宁,Shanghai,数字新媒体、投资,"Digital media, Investments",先生,51,中国-上海,中国-上海,中国-上海,本科,华东师大,华东师范大学,,
李振国、李喜燕,179,-67,260.0,3660.0,-37%,夫妇,隆基,Longi,陕西西安,Shaanxi,硅材料,Silicon Materials,先生,56,中国-河南-许昌,中国-河南-许昌,中国-陕西-西安,硕士,,,,
林陈海,179,64,260.0,3660.0,21%,家族,宝佳,Pao Chia,台湾新北,Taiwan,房地产,Real Estate,先生,未知,中国-台湾-台北,,中国-台湾-新北,,,,,
林鸿南,179,33,260.0,3660.0,6%,家族,宏泰,Hung Tai Construction,台湾台北,Taiwan,投资,Investments,先生,57,中国-台湾,中国-福建-泉州,中国-台湾-台北,,,,,
刘克振,179,35,260.0,3660.0,8%,家族,研华,Advantech,台湾台北,Taiwan,电脑产品,Computer Products,先生,70,中国-台湾,,中国-台湾-台北,,,,,
张磊,179,35,260.0,3660.0,8%,未知,高瓴资本,Hillhouse Capital,美国纽约,New York,投资,Investments,先生,52,中国-河南-驻马店,,中国-香港,硕士,人大、耶鲁,美国耶鲁大学,,
李春安,185,-6,255.0,3590.0,-9%,未知,隆基,Longi,陕西西安,Shaanxi,硅材料,Silicon Materials,先生,56,中国-甘肃-兰州,,中国-陕西-西安,硕士,,,,
缪汉根、朱红梅,185,-70,255.0,3590.0,-35%,夫妇,盛虹,Shenghong Printing & Dyeing,江苏苏州,Jiangsu,印染、化纤、房地产,"Printing and Dyeing, Chemical Fiber, Real Estate",先生,59,中国-江苏-苏州,中国-江苏-苏州,中国-江苏-苏州,,,,,
叶国富、杨云云,185,-67,255.0,3590.0,-34%,夫妇,名创优品,Miniso,广东广州,Guangdong,新零售,New Retail,先生,47,中国-湖北-十堰,中国-湖北-十堰,中国-广东-广州,,,,,
余竹云,185,307,255.0,3590.0,113%,未知,中环新能源,Central Holding,安徽合肥,Anhui,绿色建材、新能源,"Construction Engineering, New Energy",先生,51,中国-浙江-衢州,中国-浙江-衢州,中国-安徽-合肥,,,,,
喻会蛟,185,17,255.0,3590.0,0%,家族,圆通速递,YTO,上海青浦,Shanghai,物流,Logistics,先生,55,中国-浙江,,中国-上海,,,,,
周建平,185,-14,255.0,3590.0,-12%,家族,海澜,Heilan,江苏无锡,Jiangsu,服装、投资,"Apparel, Investments",先生,63,中国-江苏-无锡,中国-江苏-无锡,中国-江苏-无锡,,,,,
曹德旺,191,62,250.0,3520.0,19%,未知,福耀玻璃,Fuyao Glass,福建福州,Fujian,玻璃,Glass ,先生,78,中国-福建-福州,,中国-福建-福州,,,,,
杜江涛、郝虹,191,14,250.0,3520.0,0%,夫妇,君正,Junzheng,内蒙古乌海,Inner Mongolia,煤化工、电力、运输,Energy Chemical,先生,55,中国-内蒙古-乌海,中国-内蒙古,中国-内蒙古-乌海,本科,北京理工,,,
缪寿良,191,-3,250.0,3520.0,-7%,未知,富源,Fuyuan,广东深圳,Guangdong,房地产、水电,"Real Estate, Hydroelectricity, New Energy",先生,69,中国-广东,中国-广东-梅州,中国-广东-深圳,,,美国席勒国际大学,,
彭铁缆,191,23,250.0,3520.0,4%,未知,博深集团,Bosen,湖南长沙,Hunan,企业服务,Business Services,先生,未知,中国-湖南-长沙,中国-湖南-湘西,中国-湖南-长沙,,,,,
宋涛,191,32,250.0,3520.0,6%,未知,米哈游,Mihoyo,上海,Shanghai,游戏,Online games,先生,48,,,中国-上海,,,,,
严建亚、范代娣,196,36,245.0,3450.0,9%,夫妇,巨子生物,Giant Biogene,陕西西安,Shaanxi,生物科技,Biotechnology,先生,58,,,中国-西安,,,,,
袁征,196,3,245.0,3450.0,-6%,家族,zoom,zoom,美国旧金山,San Francisco,视频软件,Video Software,先生,54,中国-山东,中国-山东,美国-加州,硕士,山东科技大学、斯坦福,,,
郭金树,198,127,240.0,3380.0,41%,未知,汇能,Huineng,内蒙古鄂尔多斯,Inner Mongolia,煤炭、路桥、房地产,"Coal, Construction, Real Estate",先生,73,中国-内蒙古-鄂尔多斯,,中国-内蒙古-鄂尔多斯,,,,,
姜滨、胡双美,198,76,240.0,3380.0,23%,夫妇,歌尔股份,GoerTek,山东潍坊,Shandong,声学及多媒体产品,Electronic Components,先生,58,中国-山东-威海,中国-山东,中国-山东-潍坊,本科,北航,清华大学,,
许家彰,198,7,240.0,3380.0,-4%,家族,奇美,Chi Mei,台湾台南,Taiwan,化工,Chemicals,先生,未知,,,中国-台湾-台南,,,,,
姚良松,198,-106,240.0,3380.0,-47%,未知,欧派家居,Oppein,广东广州,Guangdong,橱柜,Furniture,先生,60,中国-广东-梅州,中国-广东-梅州,中国-广东-广州,本科,北航,北京航空航天大学,,
朱共山,198,55,240.0,3380.0,14%,家族,协鑫,GCL,香港,Hong Kong,太阳能芯片、发电厂,Solar,先生,66,中国-江苏-盐城,中国-江苏-盐城,中国-香港,博士,南京工程、加拿大乔治布朗、菲律宾比利勤,菲律宾比利勤国立大学,,
曹其峰,203,24,235.0,3310.0,2%,未知,永新,Novel Enterprises,香港,Hong Kong,杂货,Grocery,先生,78,中国-香港,中国-香港,中国-香港,,,,,
张茵,203,-19,235.0,3310.0,-15%,家族,玖龙纸业,Nine Dragons Paper,广东东莞,Guangdong,环保造纸,Paper & Packaging,女士,67,中国-广东-韶关,中国-黑龙江-鸡西,中国-广东-东莞,本科,,,,
郑崇华,203,50,235.0,3310.0,12%,家族,台达电子,Delta,台湾台北,Taiwan,半导体,Semiconductors,先生,88,中国-福建-南平,中国-福建-南平,中国-台湾-台北,,,,,
陈大年,206,8,230.0,3240.0,-4%,未知,掌门科技,Zenmen,上海浦东,Shanghai,上网平台,Online games,先生,46,中国-浙江-绍兴,中国-浙江-绍兴,中国-上海,,,,,
廖龙星,206,21,230.0,3240.0,0%,未知,长春,Chang Chun,台湾台北,Taiwan,化工,Chemicals,先生,未知,中国-台湾,,中国-台湾-台北,,,,,
林书鸿,206,21,230.0,3240.0,0%,未知,长春,Chang Chun,台湾台北,Taiwan,化工,Chemicals,先生,96,中国-台湾,,中国-台湾-台北,,,,,
王麒诚、吴艳,206,26,230.0,3240.0,2%,夫妇,汉鼎宇佑,Hakim,浙江杭州,Zhejiang,文化传媒、投资,"Media, Investments",先生,44,中国-浙江-杭州,,中国-上海,本科,浙大,浙江大学,,
徐波,206,-18,230.0,3240.0,-15%,未知,多益网络,Duoyi,广东广州,Guangdong,网络游戏,Gaming,先生,47,,,中国-广东-广州,,,,,
许荣茂,206,-1,230.0,3240.0,-8%,家族,世茂,Shimao,上海黄浦,Shanghai,投资、房地产,"Investments, Real Estate",先生,74,中国-福建-泉州,中国-福建-泉州,中国-香港,,,美国国立波士顿大学,,
郑正,206,21,230.0,3240.0,0%,未知,长春,Chang Chun,台湾台北,Taiwan,化工,Chemicals,先生,未知,中国-台湾,,中国-台湾-台北,,,,,
董经贵、钱静红,213,-42,225.0,3170.0,-22%,夫妇,雅迪,Yadea,江苏无锡,Shanghai,电动车,Electric vehicle,先生,54,,,中国-上海,,,,,
刘炽平,213,48,225.0,3170.0,10%,未知,腾讯,Tencent,广东深圳,Guangdong,互联网服务,Internet Services,先生,51,中国-北京,,中国-广东-深圳,硕士,,斯坦福大学\西北大学凯洛格管理学院,,
茅理翔,213,-11,225.0,3170.0,-12%,家族,方太厨具,Fotile,浙江宁波,Zhejiang,厨具,Kitchenware ,先生,83,中国-浙江-宁波,,中国-浙江-宁波,,,,,
孙纪木、孙春莉,213,1,225.0,3170.0,-6%,夫妇,新华联合冶金,Sinogiant,河北沧州,Hebei,钢铁,Steel,先生,68,中国-浙江-绍兴,中国-浙江-绍兴,中国-北京,硕士,绍兴农业、澳大利亚昆士兰大学,浙江农业大学,,
吴光明、吴群,213,1,225.0,3170.0,-6%,父子,鱼跃医疗,Yuwell,江苏镇江,Jiangsu,医疗设备,Medical equipment ,先生,62,中国-江苏-镇江,中国-江苏-镇江,中国-江苏-镇江,硕士,,,,
尹衍梁,213,40,225.0,3170.0,7%,家族,润泰,Ruentex,台湾台北,Taiwan,建筑开发、金融保险,"Real Estate, Insurance",先生,74,中国-台湾-台北,中国-山东-日照,中国-台湾-台北,,,,,
张红超,213,-34,225.0,3170.0,-20%,未知,蜜雪冰城,MXBC,河南郑州,Henan,餐饮,Catering,先生,46,中国-河南-商丘,中国-河南-商丘,中国-河南-郑州,,,,,
张红甫,213,-34,225.0,3170.0,-20%,未知,蜜雪冰城,MXBC,河南郑州,Henan,餐饮,Catering,先生,39,中国-河南-商丘,中国-河南-商丘,中国-河南-郑州,,,,,
赵燕,213,-76,225.0,3170.0,-36%,家族,华熙国际,Bloomage,北京,Beijing,生物医药、房地产,"Biotech, Real Estate",女士,57,中国-云南-昆明,中国-山东-威海,中国-北京,本科,华东师大,美国福特汉姆大学,,
郑坚江,213,214,225.0,3170.0,67%,未知,奥克斯,AUX,浙江宁波,Zhejiang,家电、房地产,"Household appliances, real estate",先生,63,中国-浙江-宁波,,中国-浙江-宁波,,,,,
朱林瑶,213,10,225.0,3170.0,-4%,未知,华宝国际,Huabao International,广东深圳,Guangdong,香精香料、烟草,"Flavours & Fragrances, Tobacco",女士,54,中国-四川,,中国-广东-深圳,,,,,
蔡镇宇,224,19,220.0,3100.0,2%,未知,宝丰隆,Homax Equity,台湾台北,Taiwan,金融服务,Financial Services,先生,71,中国-台湾-台北,中国-福建-泉州,中国-台湾-台北,,,,,
崔根良、崔巍,224,-57,220.0,3100.0,-27%,父子,亨通,Hengtong,江苏苏州,Jiangsu,电缆、热能电力、投资,"Cable, energy, Investments",先生,66,中国-江苏-苏州,中国-江苏-苏州,中国-江苏-苏州,,,,,
郭建军,224,89,220.0,3100.0,26%,未知,汇能,Huineng,内蒙古鄂尔多斯,Inner Mongolia,煤炭、路桥、房地产,"Coal, Construction, Real Estate",先生,未知,,,中国-内蒙古-鄂尔多斯,,,,,
罗才仁,224,66,220.0,3100.0,19%,家族,正新橡胶,Cheng Shin Rubber,台湾彰化,Taiwan,橡胶,Rubber,先生,71,中国-台湾-彰化,中国-福建-泉州,中国-台湾-彰化,,,,,
郭梅兰、张寓帅,228,52,215.0,3030.0,13%,母子,东阳光,Hec Technology,广东深圳,Guangdong,医药、电子新材料,"Pharmaceuticals, New Materials",女士,未知,,,中国-广东-东莞,,,,,
薛敏,228,4,215.0,3030.0,-4%,未知,联影医疗,United Imaging,上海嘉定,Shanghai,医疗设备,Medical equipment,先生,未知,,,中国-上海,,,,,
赵藤雄,228,97,215.0,3030.0,26%,家族,远雄,Farglory,台湾台北,Taiwan,房地产,Real Estate,先生,80,中国-台湾,,中国-台湾-台北,,,,,
陈永泰,231,22,210.0,2960.0,0%,未知,震旦,Aurora,台湾台北,Taiwan,办公家具、房地产,"Office Furniture, Real Estate",先生,88,中国-台湾-台北,中国-广东-中山,中国-台湾-台北,,,,,
仇建平、王玲玲,231,82,210.0,2960.0,20%,夫妇,巨星科技,GreatStar Industrial,浙江杭州,Zhejiang,工具制造,Tools,先生,62,中国-浙江-杭州,,中国-浙江-杭州,硕士,西交大,,,
马维建,231,71,210.0,2960.0,17%,家族,元大,Yuanta,台湾台北,Taiwan,金融服务,Financial Services,先生,未知,,,中国-台湾-台北,,,,,
郭恩元,234,40,205.0,2890.0,5%,家族,普阳钢铁,Puyang Iron and steel,河北邯郸,Hebei,钢铁、煤化工,Metals & Mining,先生,76,中国-河北-邯郸,,,,,,,
冷友斌,234,9,205.0,2890.0,-5%,未知,中国飞鹤,China Feihe,北京,Beijing,乳业,Dairy,先生,55,中国-黑龙江-黑河,,中国-北京,,,,,
宿华,234,-37,205.0,2890.0,-23%,未知,快手科技,Kuaishou,北京,Beijing,传媒娱乐,Media & Entertainment,先生,42,中国-湖南,,中国-北京,硕士,清华、清华、清华退学,清华大学,,
